,precision,recall,f1-score,n_cells
B,0.9796511627906976,0.9941002949852508,0.986822840409956,339
CD14 Mono,0.7396166134185304,0.9978448275862069,0.8495412844036697,464
CD4 T,0.9443507588532883,0.9815950920245399,0.9626128061882252,1141
CD8 T,0.9383259911894273,0.6740506329113924,0.7845303867403315,316
DC,0.9666666666666667,0.8285714285714286,0.8923076923076924,35
FCGR3A Mono,0.0,0.0,0.0,149
NK,0.7967914438502673,0.9675324675324676,0.873900293255132,154
Platelet,0.9230769230769231,0.8,0.8571428571428571,15
